,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
1063,2020-02-17,9936.56,9938.82,9507.64,9690.14,9690.14,45998298413,BTC,,,,,,,340.7249512955077,398.32645447765145,-57.601503182143745
1064,2020-02-18,9691.23,10161.94,9632.38,10142.00,10142.00,47271023953,BTC,,,,,,,336.05304077375695,385.8717717368726,-49.81873096311563
1065,2020-02-19,10143.80,10191.68,9611.22,9633.39,9633.39,46992019710,BTC,,,,,,,287.9901702421994,366.29545143793797,-78.30528119573859
1066,2020-02-20,9629.33,9643.22,9507.90,9608.48,9608.48,44925260237,BTC,,,,,,,245.0650133272502,342.04936381580046,-96.98435048855026
1067,2020-02-21,9611.78,9723.01,9589.74,9686.44,9686.44,40930547513,BTC,,,,,,,214.86046003687989,316.61158306001636,-101.75112302313647
1068,2020-02-22,9687.71,9698.23,9600.73,9663.18,9663.18,35838025154,BTC,,,,,,,186.8918731565409,290.6676410793213,-103.7757679227804
1069,2020-02-23,9663.32,9937.40,9657.79,9924.52,9924.52,41185185761,BTC,,,,,,,183.6969760490756,269.2735080732722,-85.57653202419658
1070,2020-02-24,9921.58,9951.75,9537.04,9650.17,9650.17,45080496648,BTC,,,,,,,157.21496861674132,246.861800181966,-89.64683156522469
1071,2020-02-25,9651.31,9652.74,9305.02,9341.71,9341.71,42515259129,BTC,,,,,,,110.06883779520649,219.5032077046141,-109.43436990940762
1072,2020-02-26,9338.29,9354.78,8704.43,8820.52,8820.52,50420050762,BTC,,,,,,,30.30023002568487,181.66261216882825,-151.36238214314338
1073,2020-02-27,8825.09,8932.89,8577.20,8784.49,8784.49,45470195695,BTC,,,,,,,-35.41603224417668,138.24688328622727,-173.66291553040395
1074,2020-02-28,8788.73,8890.46,8492.93,8672.46,8672.46,44605450443,BTC,,,,,,,-95.43639690296732,91.51022724838835,-186.94662415135565
1075,2020-02-29,8671.21,8775.63,8599.51,8599.51,8599.51,35792392544,BTC,,,,,,,-147.1926780811864,43.769646182473394,-190.96232426365978
